model,lambda,arrived,dropped,served,instant_nsys,instant_nq,total_nsys,total_nq,total_wait,total_sojourn,avg_nsys,avg_nq,avg_wait,avg_sojourn,drop_prob
M/M/3/8,6.0,188,0,186,2,0,25.159501412746963,1.6341271593218671,3.2682543186437343,25.128715193643956,0.8386500470915654,0.05447090531072891,0.017571259777654485,0.13510061932066642,0.0
M/M/3/8,6.0,169,0,169,0,0,19.810527111087854,0.11089840506521442,0.22179681013042885,19.810527111087854,0.6603509037029285,0.003696613502173814,0.001312407160535082,0.11722205391176245,0.0
M/M/3/8,6.0,180,0,178,2,0,26.476897938170094,0.6130605990674702,1.2261211981349405,26.139195336282636,0.8825632646056698,0.020435353302249007,0.006888321337836744,0.14684941200158785,0.0
M/M/3/8,6.0,164,0,164,0,0,22.04547855455094,0.10698887750635544,0.21397775501271088,22.04547855455094,0.734849285151698,0.0035662959168785147,0.0013047424086140907,0.13442364972287157,0.0
M/M/3/8,6.0,171,0,170,1,0,21.469840972206654,0.31708279438757536,0.6341655887751507,21.469840972206658,0.7156613657402218,0.010569426479585845,0.003730385816324416,0.12629318218945093,0.0
M/M/3/8,6.0,190,0,188,2,0,23.111566130451678,0.05867559177837478,0.11735118355674956,23.01287984829086,0.7703855376817226,0.0019558530592791593,0.0006242084231741998,0.12240893536324926,0.0
M/M/3/8,6.0,150,0,150,0,0,19.463014414329283,0.25098915252420095,0.5019783050484019,19.463014414329283,0.6487671471443094,0.008366305084140031,0.0033465220336560127,0.1297534294288619,0.0
M/M/3/8,6.0,174,0,173,1,0,24.34765858221567,0.21247982885996297,0.42495965771992594,24.33115591146818,0.811588619407189,0.0070826609619987655,0.0024564142064735606,0.14064251971946926,0.0
M/M/3/8,6.0,174,0,174,0,0,22.947076369882037,0.5355573332624068,1.0711146665248137,22.947076369882037,0.7649025456627345,0.017851911108746895,0.006155831416809274,0.13187974925219562,0.0
M/M/3/8,6.0,175,0,175,0,0,21.635902694689907,0.12043224017978704,0.24086448035957408,21.635902694689904,0.7211967564896635,0.004014408005992901,0.0013763684591975662,0.1236337296839423,0.0
M/M/3/8,6.0,169,0,167,2,0,22.154350634587743,0.19392876613006305,0.3878575322601261,21.942890137925012,0.7384783544862581,0.006464292204335435,0.002322500193174408,0.13139455172410186,0.0
M/M/3/8,6.0,190,0,188,2,0,22.761580577603716,0.4025603268621949,0.8051206537243898,22.6367921819155,0.7587193525867906,0.013418677562073163,0.004282556668746754,0.12040846905274202,0.0
M/M/3/8,6.0,157,0,156,1,0,17.770585517817743,0.21125330095918393,0.42250660191836786,17.77058551781774,0.5923528505939247,0.0070417766986394644,0.002708375653322871,0.11391400972960089,0.0
M/M/3/8,6.0,163,0,163,0,0,19.53681767556501,0.2638214855215981,0.5276429710431962,19.53681767556501,0.651227255852167,0.008794049517386604,0.003237073441982799,0.11985777715070559,0.0
M/M/3/8,6.0,182,0,180,2,0,22.28066862178302,0.5430092981459351,1.0860185962918703,22.17281392608241,0.7426889540594339,0.018100309938197837,0.006033436646065946,0.12318229958934672,0.0
M/M/3/8,6.0,198,0,198,0,0,28.1229515522898,1.9922285779723823,3.9844571559447646,28.12295155228981,0.93743171840966,0.06640761926574608,0.020123520989620024,0.14203510884994852,0.0
M/M/3/8,6.0,175,0,174,1,0,22.669083458167723,0.1533838404873622,0.3067676809747244,22.669083458167723,0.7556361152722574,0.005112794682912074,0.0017630326492800252,0.13028208884004439,0.0
M/M/3/8,6.0,159,0,159,0,0,17.771151826477197,0.0031023578114393047,0.006204715622878609,17.771151826477197,0.59237172754924,0.00010341192704797683,3.9023368697349746e-05,0.11176825048098867,0.0
M/M/3/8,6.0,173,0,172,1,0,20.892233481216177,0.16144221673857473,0.32288443347714946,20.752345597050436,0.6964077827072059,0.005381407224619158,0.00187723507835552,0.12065317207587463,0.0
M/M/3/8,6.0,144,0,143,1,0,18.683414509178217,0.07488809346848058,0.14977618693696115,18.68341450917822,0.6227804836392739,0.002496269782282686,0.001047385922636092,0.1306532483159316,0.0
M/M/3/8,6.0,186,0,186,0,0,20.5715276273036,0.04377531340907481,0.08755062681814962,20.5715276273036,0.6857175875767866,0.001459177113635827,0.00047070229472123454,0.11059961089948171,0.0
M/M/3/8,6.0,176,0,175,1,0,21.304482617652045,0.19628451289381976,0.3925690257876395,21.304482617652045,0.7101494205884015,0.006542817096460659,0.002243251575929369,0.1217399006722974,0.0
M/M/3/8,6.0,166,0,166,0,0,22.000178562965036,0.4618384184640907,0.9236768369281814,22.000178562965036,0.7333392854321679,0.015394613948803022,0.0055643182947480805,0.13253119616243997,0.0
M/M/3/8,6.0,182,0,182,0,0,20.69922834212657,0.5614996633702773,1.1229993267405547,20.69922834212657,0.6899742780708856,0.01871665544567591,0.006170325971101949,0.1137320238578383,0.0
M/M/3/8,6.0,182,0,181,1,0,23.75371383269208,0.7307916986811505,1.461583397362301,23.513264257198184,0.7917904610897359,0.024359723289371683,0.008075046394266856,0.12990753733258664,0.0
M/M/3/8,6.0,170,0,169,1,0,20.82146559687835,0.2866124217161179,0.5700938981664194,20.736704470922337,0.6940488532292783,0.009553747390537264,0.0033733366755409433,0.12270239331906709,0.0
M/M/3/8,6.0,162,0,161,1,0,20.96754049416081,0.29644470217393515,0.5928894043478703,20.96754049416081,0.698918016472027,0.009881490072464505,0.003682542884148263,0.13023317077118515,0.0
M/M/3/8,6.0,172,0,172,0,0,22.30741982474067,0.2532876281838501,0.5065752563677002,22.30741982474067,0.743580660824689,0.00844292093946167,0.002945204978881978,0.12969430130663182,0.0
M/M/3/8,6.0,188,0,188,0,0,25.325497888184135,0.6939093620791832,1.3878187241583664,25.325497888184138,0.8441832629394711,0.023130312069306106,0.007382014490204076,0.13471009514991564,0.0
M/M/3/8,6.0,151,0,151,0,0,20.31564992800371,0.3646441210400031,0.7292882420800062,20.315649928003715,0.6771883309334571,0.01215480403466677,0.004829723457483484,0.13454072800002462,0.0
